"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.135843583E0,-1.194785431E1,2.504441986E0,-2.978805542E-2,1.220755256E1
2.145911583E0,-1.275018585E1,2.841840363E0,-7.768844604E-2,1.306328180E1
2.155980583E0,-1.335148544E1,3.160228271E0,-3.121009827E-1,1.372394307E1
2.166048583E0,-1.339205109E1,3.428769836E0,-4.962181091E-1,1.383292186E1
2.176117583E0,-1.311812073E1,3.464695129E0,-7.039860535E-1,1.358619888E1
2.186185583E0,-1.217897369E1,3.210823059E0,-9.422904968E-1,1.263030864E1
2.196254583E0,-1.051832703E1,3.082689514E0,-1.014440460E0,1.100760044E1
2.206322583E0,-8.778195648E0,2.853366394E0,-9.340576172E-1,9.277439423E0
2.216391583E0,-7.529043274E0,2.619103546E0,-8.146060181E-1,8.013100459E0
2.226459583E0,-6.483467560E0,2.283351746E0,-5.153782654E-1,6.893087955E0
2.236528583E0,-5.646707611E0,2.037263489E0,-1.291813660E-1,6.004368176E0
2.246596583E0,-5.095404053E0,1.643133087E0,2.751278687E-1,5.360851066E0
2.256665583E0,-5.037773895E0,1.199605408E0,6.926097107E-1,5.224741828E0
2.266733583E0,-5.086273041E0,8.794212341E-1,9.560618591E-1,5.249534211E0
2.276802583E0,-5.028642883E0,6.936575317E-1,1.107846222E0,5.195741840E0
2.286870583E0,-5.092260590E0,5.328918457E-1,1.208736420E0,5.260811284E0
2.296939583E0,-5.317542114E0,4.589456177E-1,1.305285645E0,5.494602427E0
2.307008583E0,-5.679339752E0,5.068460083E-1,1.259630585E0,5.839388847E0
2.317076583E0,-6.145470428E0,6.137237549E-1,1.179547119E0,6.287670080E0
2.327145583E0,-6.638096008E0,7.312294006E-1,1.170715485E0,6.780087743E0
2.337213583E0,-7.078480225E0,9.286688232E-1,1.106648712E0,7.224401667E0
2.347282583E0,-7.441774750E0,1.179247742E0,1.380579071E0,7.660067574E0
2.357350583E0,-7.730224915E0,1.435365143E0,2.593955841E0,8.279206316E0
2.367419583E0,-8.128546600E0,1.651216278E0,3.145259399E0,8.870876040E0
2.377487583E0,-8.184829559E0,1.759441223E0,3.565136261E0,9.099300242E0
2.387556583E0,-8.203840027E0,1.835932159E0,4.271068268E0,9.429510180E0
2.397624583E0,-8.231083374E0,1.871408386E0,5.024601288E0,9.823416970E0
2.407693583E0,-8.183482361E0,1.923649750E0,5.521867218E0,1.005787400E1
2.417761583E0,-8.281977539E0,1.971999207E0,5.557792511E0,1.016705417E1
2.427830583E0,-8.578361206E0,2.018253021E0,5.181624756E0,1.022305538E1
2.437898583E0,-8.832083588E0,2.018253021E0,4.611310730E0,1.016578735E1
